baseAsset,maxMarketOrderQty,minMarketOrderQty,minOrderValue,minTickSize,minTradeAmount,quoteAsset
LINK,1275600,,10,0.0001,0.01,USDT
LINK,186400,,10,0.0001,0.01,TUSD
LINK,120400,,10,0.0001,0.01,PAX
LINK,79700,,10,0.0001,0.01,USDC
WAVES,126400,,10,0.0001,0.01,USDT
WAVES,37300,,10,0.0001,0.01,TUSD
WAVES,26900,,10,0.0001,0.01,USDC
BCHABC,1100,,10,0.01,0.00001,TUSD
BCHABC,600,,10,0.01,0.00001,PAX
BCHABC,1700,,10,0.01,0.00001,USDC
LTC,4800,,10,0.01,0.00001,TUSD
LTC,5300,,10,0.01,0.00001,PAX
LTC,6000,,10,0.01,0.00001,USDC
TRX,4068900,,10,0.00001,0.1,PAX
TRX,4984400,,10,0.00001,0.1,USDC
BTT,385000000,,0.1,0.00000001,1,BNB
BTT,1060000000,,10,0.0000001,1,USDT
BNB,6600,,10,0.0001,0.01,USDS
BTC,100,,10,0.01,0.000001,USDS
USDS,153500,,10,0.0001,0.01,USDT
USDS,156600,,10,0.0001,0.01,PAX
USDS,74500,,10,0.0001,0.01,TUSD
USDS,232600,,10,0.0001,0.01,USDC
